field_1,Codigo,Linea,Nombre,Latitude,Longitud,No_Lineas,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,geometry
1,101-1,101,Monterrey y Garmendia,29.078525,-110.954248,2,101,102,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.954248 29.078525)
2,501-47,501,Calle Garmendia y AV Dr. Alberto G Noriega,29.07992189,-110.9547236,8,501,101,102,1001,1002,1602,1902,902,0,0,0,NA,NA,NA,POINT (-110.9547236 29.07992189)
3,102-3,102,Garmendia y oaxaca,29.082563,-110.955281,6,102,501,1001,1002,1902,101,0,0,0,0,0,NA,NA,NA,POINT (-110.955281 29.082563)
4,101-4,101,Blvd. Luis Encinas y Pino Suarez,29.084578,-110.957564,9,101,102,501,1001,1002,1602,1702,601,1601,0,0,NA,NA,NA,POINT (-110.957564 29.084578)
5,401-82,401,blvd. Luiis encinas,29.086463,-110.962878,5,401,101,102,1001,1002,0,0,0,0,0,0,NA,NA,NA,POINT (-110.962878 29.086463)
6,501-52,501,Blvd Luis Encinas,29.088055,-110.964906,2,501,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.964906 29.088055)
7,101-7,101,Blvd. Luis Encinas y Monte Verde,29.089543,-110.968326,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.968326 29.089543)
8,101-8,101,12 de Octubre / Blvd. Luis Encinas y veracruz,29.091355,-110.971147,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.971147 29.091355)
9,601-116,601,Nayarit Gandara,29.092648,-110.97427,2,601,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.97427 29.092648)
10,101-10,101,Olivares y Aguacalientes,29.093144,-110.97747,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.97747 29.093144)
11,101-11,101,Olivares y Campeche,29.096303,-110.977947,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.977947 29.096303)
12,101-12,101,Olivares y J.S.Healy,29.099142,-110.978455,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.978455 29.099142)
13,1002-18,1002,Calle Jose Carmelo  / Guillermo Arreola,29.10055,-110.979732,3,1002,101,1501,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.979732 29.10055)
14,1002-19,1002,Calle Jose Carmelo  / Agua Zarca,29.100248,-110.982235,3,1002,101,1501,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.982235 29.100248)
15,1002-20,1002,Calle Jose Carmelo  / Calle Jose Obregon,29.099926,-110.984688,2,1002,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.984688 29.099926)
16,1501-133,1501,Calle Jose Carmelo Y Calle Adalberto Truqui,29.099687,-110.986698,2,1501,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.986698 29.099687)
17,1002-21,1002,Calle Jose Carmelo  / Calle Soyopa,29.099297,-110.990027,3,1002,101,1501,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.990027 29.099297)
18,101-18,101,Solidaridad /Jose Carmelo Y J.S. Healy,29.098397,-110.992469,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.992469 29.098397)
19,101-20,101,Blvd. Garcia Morales y Sollidaridad,29.094189,-110.99359,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.99359 29.094189)
20,101-21,101,Blvd.Garcia Morales y Republica de Cuba,29.094612,-111.003334,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.003334 29.094612)
21,101-22,101,Blvd.Garcia Morales y Quintero Arce,29.09473,-111.006121,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.006121 29.09473)
22,101-23,101,Blvd.Garcia Morales y Juan de Dios Bojorquez,29.094936,-111.009522,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.009522 29.094936)
23,101-24,101,Blvd.Garcia Morales y Angel Arreola,29.095074,-111.013596,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.013596 29.095074)
24,101-25,101,Blvd.Garcia Morales y lazaro Mercado,29.095312,-111.016629,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.016629 29.095312)
25,101-27,101,Blvd. Quiroga y Blvd. Juan Bautista y Ramon Lopez,29.099987,-111.024221,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.024221 29.099987)
26,101-29,101,Ramon Lopez y Agustin del Campo,29.099538,-111.027174,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.027174 29.099538)
27,101-30,101,Blvd. Garcia Morales  y Agustin del Campo,29.094519,-111.029083,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.029083 29.094519)
28,101-31,101,Blvd. Garcia Morales,29.093785,-111.031809,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.031809 29.093785)
29,101-33,101,Blvd. Garcia Morales,29.090339,-111.045403,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.045403 29.090339)
30,101-34,101,Blvd. Garcia Morales y Aviacion,29.089065,-111.045312,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.045312 29.089065)
31,101-35,101,Concord y Aeropuerto,29.088714,-111.04672,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.04672 29.088714)
32,101-36,101,Concord y Tercera,29.088135,-111.049086,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.049086 29.088135)
33,101-37,101,Calle del Jet y Garcia Morales,29.088572,-111.051298,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.051298 29.088572)
34,101-38,101,Blvd. Garcia Morales/tercera y fuerza aerea,29.089217,-111.048725,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.048725 29.089217)
35,101-39,101,Blvd. Garcia Morales/Fuerza aerea y aeropuerto,29.08954,-111.04748,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.04748 29.08954)
36,101-40,101,Blvd. Garcia Morales y Helicoptero,29.09048,-111.043977,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.043977 29.09048)
37,101-41,101,Blvd. Garcia Morales y Paseo real del Llano,29.091476,-111.039638,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.039638 29.091476)
38,101-42,101,Blvd. Garcia Morales y,29.092291,-111.036622,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.036622 29.092291)
39,101-43,101,Blvd. Garcia Morales,29.094163,-111.029037,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.029037 29.094163)
40,101-44,101,Blvd. Garcia Morales y quiroga,29.094889,-111.026269,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.026269 29.094889)
41,101-45,101,blvd.Garcia Morales y Quiroga,29.094944,-111.020093,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.020093 29.094944)
42,101-47,101,Ramon Lopez Velarde y D. Campo,29.099405,-111.027259,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.027259 29.099405)
43,101-48,101,Ramon Lopez Velarde y D. Campo,29.10005,-111.023145,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.023145 29.10005)
44,101-49,101,Blvd. Ggarcia Morales,29.095164,-111.020797,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.020797 29.095164)
45,101-50,101,"Blvd. Garcia Morales, pasando quinta emilia",29.09474,-111.013372,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.013372 29.09474)
46,101-51,101,blvd. Garcia Morales,29.094944,-111.016294,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.016294 29.094944)
47,101-52,101,Quintero Arce y Garcia Morales,29.09452,-111.007559,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.007559 29.09452)
48,101-53,101,Tecnologico y Republica de Cuba,29.098359,-111.001938,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.001938 29.098359)
49,102-41,102,jose maria mendoza y calle 16,29.10204,-111.001783,4,102,1501,1901,101,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.001783 29.10204)
50,102-43,102,jose maria mendoza y ocho,29.102078,-110.99765,6,102,1101,1501,1901,101,1102,0,0,0,0,0,NA,NA,NA,POINT (-110.99765 29.102078)
51,1501-4,1501,Av Jose Maria Mendoza Y Calle 4,29.102081,-110.99589,4,1501,101,102,1102,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.99589 29.102081)
52,101-57,101,Jose Maria Mendoza Yuno,29.102111,-110.993624,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.993624 29.102111)
53,401-10,401,solidaridad y Garcia Morales,29.095449,-110.992557,2,401,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.992557 29.095449)
54,101-60,101,solidaridad y Garcia Morales,29.092642,-110.992463,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.992463 29.092642)
55,1801-114,1801,blvd solidaridad y blvd juan navarrete,29.088745,-110.988622,2,1801,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.988622 29.088745)
56,1801-112,1801,blvd juan navarrete y equitacion,29.089284,-110.98379,2,1801,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.98379 29.089284)
57,101-63,101,Navarrete y herrerias,29.087627,-110.977825,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.977825 29.087627)
58,101-64,101,Navarrete y Olivares,29.08696,-110.975816,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.975816 29.08696)
59,1801-109,1801,blvd juan navarrete y del retiro,29.085378,-110.971431,2,1801,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.971431 29.085378)
60,101-66,101,Navarrete y Reforma,29.08152327,-110.9478378,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.9478378 29.08152327)
61,101-67,101,Navarrete y Luis Encinas,29.086779,-110.96418,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.96418 29.086779)
62,402-36,402,BLVD LUIS ENCINAS,29.085965,-110.962839,3,402,601,101,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.962839 29.085965)
63,101-69,101,Yañez y Niños Heroes,29.083606,-110.956862,5,101,501,1701,1901,102,0,0,0,0,0,0,NA,NA,NA,POINT (-110.956862 29.083606)
64,1701-59,1701,Calle Gral Jose Maria Yañez Y Luis Donaldo Colosio,29.080873,-110.956402,2,1701,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.956402 29.080873)
65,102-60,102,calle yañez y morelia,29.07919,-110.95606,7,102,501,1502,101,1102,1401,1901,0,0,0,0,NA,NA,NA,POINT (-110.95606 29.07919)
66,102-61,102,calle elias calles y yañez,29.07728775,-110.9550905,4,102,1701,1901,101,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.9550905 29.07728775)
67,1901-154,1901,Av. Plutarco Elias Calles Y Mariano Matamoros,29.078084,-110.951725,4,1901,101,102,1701,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.951725 29.078084)
68,601-106,601,Benito Juarez Av Luis Donaldo colosio,29.081462,-110.951272,12,601,101,700,1102,1400,1401,1501,1601,1602,1701,1703,1901,NA,NA,POINT (-110.951272 29.081462)
69,101-76,101,Luis Encinas y Jesus Garcia,29.08235639,-110.9482831,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.9482831 29.08235639)
70,1901-158,1901,Blvd. Luis Encinas J. Y Calle Ramirez,29.081646,-110.945997,3,1901,101,1902,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.945997 29.081646)
71,1801-100,1801,blvd luis encinas j y ures,29.080516,-110.942138,4,1801,101,102,1901,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.942138 29.080516)
72,1901-160,1901,Blvd. Luis Encinas J. Y Av. Morelia,29.079287,-110.937817,3,1901,101,1902,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.937817 29.079287)
73,101-80,101,Luis Encinas y Fidel Velazquez,29.078386,-110.935813,6,101,601,102,1801,1802,1902,0,0,0,0,0,NA,NA,NA,POINT (-110.935813 29.078386)
74,601-45,601,Luis Encinas los naranjos,29.079919,-110.926175,6,601,101,102,801,1901,1902,0,0,0,0,0,NA,NA,NA,POINT (-110.926175 29.079919)
75,101-85,101,Periferico oriente e irrigacion,29.08458297,-110.9269059,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.9269059 29.08458297)
76,801-88,801,Virgenes y Presa Falcon,29.085872,-110.925855,5,801,101,901,1901,1902,0,0,0,0,0,0,NA,NA,NA,POINT (-110.925855 29.085872)
77,901-21,901,Periferico Oriente / La Iglesia,29.086779,-110.929665,3,901,101,1801,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.929665 29.086779)
78,101-88,101,18 de marzo y Salamanca,29.092777,-110.931001,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.931001 29.092777)
79,102-1,102,Monterrey y garmendia,29.07855866,-110.9543663,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.9543663 29.07855866)
80,101-3,101,Garmendia y Oaxaca,29.082635,-110.95529,3,101,1702,102,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.95529 29.082635)
81,101-6,101,Blvd. Luis Encinas y Gpe. Victoria,29.088095,-110.964852,6,101,1702,102,1001,1002,501,0,0,0,0,0,NA,NA,NA,POINT (-110.964852 29.088095)
82,501-53,501,Blvd Luis Encinas Y Francisco Monteverde,29.089574,-110.968662,2,501,102,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.968662 29.089574)
83,102-9,102,nayarit y america,29.092814,-110.972682,3,102,1702,1801,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.972682 29.092814)
84,101-9,101,Nayarit y Gandara,29.092655,-110.97436,6,101,102,1001,1002,1702,601,0,0,0,0,0,NA,NA,NA,POINT (-110.97436 29.092655)
85,102-11,102,blvd luis encinas y olivares,29.093006,-110.978036,3,102,1702,1001,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.978036 29.093006)
86,1702-88,1702,Blvd. Luis Encinas Y Gustavo F. Muñoz,29.093462,-110.981016,2,1702,102,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.981016 29.093462)
87,102-13,102,blvd luis encinas y jose obregon,29.093586,-110.983934,2,102,1702,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.983934 29.093586)
88,102-14,102,blvd luis encinas y suaqui,29.093792,-110.987759,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.987759 29.093792)
89,1702-91,1702,Blvd. Solidariad,29.096037,-110.99208,3,1702,102,402,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.99208 29.096037)
90,402-110,402,SOLIDARIDAD Y JOSÉ CARMELO,29.099573,-110.992178,4,402,1002,1702,102,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.992178 29.099573)
91,102-17,102,saturnino campoy y solidaridad,29.103505,-110.992893,3,102,1101,1902,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.992893 29.103505)
92,102-18,102,saturnino campoy y calle cinco,29.103451,-110.995677,3,102,1101,1902,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.995677 29.103451)
93,102-19,102,saturnino campoy y puerto rico,29.103483,-110.99813,2,102,1902,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.99813 29.103483)
94,102-20,102,saturnino campoy y republica de cuba,29.103431,-111.001808,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.001808 29.103431)
95,102-21,102,panama y saturnino campoy,29.103799,-111.005457,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.005457 29.103799)
96,102-22,102,panama y luis orci,29.10543,-111.005467,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.005467 29.10543)
97,102-23,102,luis orci y sahuaro,29.105599,-111.008061,2,102,1101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.008061 29.105599)
98,102-24,102,luis orci y carlos balderrama,29.105575,-111.011206,2,102,1101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.011206 29.105575)
99,102-25,102,carlos balderrama y angel garcia aburto,29.107494,-111.011296,3,102,1101,1902,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.011296 29.107494)
100,102-26,102,carlos balderrama y perimetral norte,29.109723,-111.011312,3,102,1101,1902,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.011312 29.109723)
101,102-27,102,carlos balderrama y chilpancingo,29.112773,-111.01134,4,102,1002,1101,1902,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.01134 29.112773)
102,102-28,102,carlos balderrama y jalapa,29.115068,-111.01134,4,102,1002,1902,1101,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.01134 29.115068)
103,102-29,102,de los yaquis e ignacio soto,29.115947,-111.012397,5,102,1002,1902,1101,1102,0,0,0,0,0,0,NA,NA,NA,POINT (-111.012397 29.115947)
104,1001-124,1001,Calle Lazaro Mercado / Toluca,29.11524,-111.016073,4,1001,102,1101,1102,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.016073 29.11524)
105,102-31,102,lazaro mercado y chilpancingo,29.112749,-111.016017,5,102,1001,1901,1101,1102,0,0,0,0,0,0,NA,NA,NA,POINT (-111.016017 29.112749)
106,102-32,102,lazaro mercado y tepic,29.111809,-111.016012,5,102,1001,1101,1901,1102,0,0,0,0,0,0,NA,NA,NA,POINT (-111.016012 29.111809)
107,1901-113,1901,Calle Lazaro Mercado Y Av. Peirmetral Norte,29.110013,-111.016018,4,1901,102,1101,1102,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.016018 29.110013)
108,102-34,102,lazaro mercado y angel garcia aburto,29.107928,-111.016009,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.016009 29.107928)
109,102-35,102,lazaro mercado y luis orci,29.10537,-111.015981,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.015981 29.10537)
110,102-36,102,lazaro mercado y saturnino campoy,29.103137,-111.015964,2,102,1901,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.015964 29.103137)
111,102-37,102,jose maria mendoza y lazaro mercado,29.100295,-111.015739,2,102,1901,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.015739 29.100295)
112,102-38,102,jose maria mendoza y carlos balderrama,29.100577,-111.011201,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.011201 29.100577)
113,102-39,102,jose maria mendoza y juan de dios bojorquez,29.100897,-111.008937,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.008937 29.100897)
114,102-40,102,jose maria mendoza y panama esquina,29.101972,-111.005535,2,102,1901,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.005535 29.101972)
115,102-42,102,jose maria mendoza y calle 12,29.102088,-110.999833,2,102,1501,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.999833 29.102088)
116,102-45,102,jose maria mendoza y uno,29.102143,-110.99349,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.99349 29.102143)
117,1001-138,1001,Av. Jose S. Healy / Blvd. Solidaridad,29.097866,-110.991967,2,1001,102,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.991967 29.097866)
118,1001-139,1001,Av. Jose S. Healy / Calle Soyopa,29.098182,-110.989295,4,1001,1501,1701,102,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.989295 29.098182)
119,1501-10,1501,S. Healy Y Alberto Truqi,29.098492,-110.98684,3,1501,102,1701,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.98684 29.098492)
120,1001-140,1001,Av. Jose S. Healy / Calle Jose Obregon,29.098732,-110.984814,4,1001,102,1501,1701,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.984814 29.098732)
121,1001-141,1001,Av. Jose S. Healy / Calle Agua Zarca,29.099129,-110.981841,5,1001,102,1501,1701,1002,0,0,0,0,0,0,NA,NA,NA,POINT (-110.981841 29.099129)
122,601-28,601,Lopez Castillo Michoacan,29.09836,-110.98058,6,601,102,1001,1002,1701,1802,0,0,0,0,0,NA,NA,NA,POINT (-110.98058 29.09836)
123,601-29,601,Lopez Castillo Quintanaroo,29.094906,-110.980036,6,601,102,1001,1002,1701,1802,0,0,0,0,0,NA,NA,NA,POINT (-110.980036 29.094906)
124,102-53,102,blvd luis encinas y olivares,29.092552,-110.977215,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.977215 29.092552)
125,102-54,102,blvd luis encinas y america,29.090694,-110.972051,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.972051 29.090694)
126,501-120,501,blvd luis encinas y francisco monteverde,29.089441,-110.969076,7,501,601,1001,1002,1701,1802,102,0,0,0,0,NA,NA,NA,POINT (-110.969076 29.089441)
127,402-35,402,BLVD LUIS ENCINAS Y BLVD JUAN NAVARRETE,29.087868,-110.965161,10,402,601,1001,1002,1301,1602,1701,501,102,1802,0,NA,NA,NA,POINT (-110.965161 29.087868)
128,501-122,501,blvd luis encinas,29.086126,-110.962995,10,501,102,700,1001,1002,1301,1602,1701,1801,1802,0,NA,NA,NA,POINT (-110.962995 29.086126)
129,101-70,101,Yañez y Colosio,29.080937,-110.956389,4,101,102,1901,1701,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.956389 29.080937)
130,101-71,101,Yañez y Morelia,29.079235,-110.956113,10,101,801,901,1101,1201,1301,1400,1501,1701,102,0,NA,NA,NA,POINT (-110.956113 29.079235)
131,101-74,101,Juarez / colosio,29.081596,-110.95128,6,101,301,1101,1902,601,102,0,0,0,0,0,NA,NA,NA,POINT (-110.95128 29.081596)
132,1901-157,1901,Blvd. Luis Encinas J. Y Calle Jesus Garcia,29.082442,-110.948624,3,1901,102,1902,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.948624 29.082442)
133,101-77,101,luis encinas e ignacio ramirez,29.081667,-110.945799,2,101,102,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.945799 29.081667)
134,102-67,102,blvd luis encinas y morelia,29.079246,-110.937403,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.937403 29.079246)
135,601-43,601,Luis Encinas(Banorte) Universidad,29.077461,-110.932432,5,601,102,801,1901,1902,0,0,0,0,0,0,NA,NA,NA,POINT (-110.932432 29.077461)
136,801-86,801,Virgenes y Angostura,29.082432,-110.924523,4,801,102,1901,1902,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.924523 29.082432)
137,801-87,801,Virgenes y Callejon Ferrocarril,29.084307,-110.92528,3,801,102,1901,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.92528 29.084307)
138,102-75,102,virgenes y presa falcon,29.085566,-110.925747,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.925747 29.085566)
139,801-89,801,Periferico Oriente y Comaquito,29.086728,-110.929018,4,801,102,1901,1902,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.929018 29.086728)
140,102-77,102,18 de marzo y salamanca,29.09353,-110.930992,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.930992 29.09353)
141,101-89,101,18 marzo entre p. oriente y blvd mazon lopez,29.096962,-110.930984,2,101,102,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.930984 29.096962)
142,1901-174,1901,Lampazos Y El Cobre,29.098605,-110.926,3,1901,1902,102,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.926 29.098605)
143,101-91,101,Lampazos y Pilares,29.098779,-110.925266,2,101,102,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.925266 29.098779)
144,1901-1,1901,Blvd. Enrique Mazon Lopez Y Pilares,29.097976,-110.92524,4,1901,501,102,1902,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.92524 29.097976)
145,501-30,501,blvd enrique mazon lopez y de la caridad,29.097613,-110.927055,5,501,101,102,1901,1902,0,0,0,0,0,0,NA,NA,NA,POINT (-110.927055 29.097613)
146,901-143,901,Periferico Oriente / Av. Veracruz,29.095981,-110.931171,5,901,101,102,1901,1902,0,0,0,0,0,0,NA,NA,NA,POINT (-110.931171 29.095981)
147,1901-4,1901,Periferico Oriente Y Salamanca,29.092923,-110.93118,4,1901,1902,101,102,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.93118 29.092923)
148,102-85,102,18 de marzo y circunvalacion,29.088528,-110.931164,1,102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.931164 29.088528)
149,101-97,101,18 de marzo y callejon ferrocarril,29.086618,-110.929115,2,101,102,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.929115 29.086618)
150,102-87,102,sanalona y presa falcon,29.085564,-110.927155,5,102,801,1901,101,1902,0,0,0,0,0,0,NA,NA,NA,POINT (-110.927155 29.085564)
151,801-104,801,Sanalona Y Callejon Ferrocarril Periferico,29.083869,-110.926528,4,801,102,1901,1902,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.926528 29.083869)
152,801-105,801,Sanalona Y Oviachic,29.082286,-110.925882,6,801,101,102,1801,1901,1902,0,0,0,0,0,NA,NA,NA,POINT (-110.925882 29.082286)
153,201-1,201,Morelia y Pino Suarez,29.079361,-110.956825,4,201,202,401,902,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.956825 29.079361)
154,201-2,201,Pino Surez y Oaxaca,29.082063,-110.95722,4,201,202,902,401,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.95722 29.082063)
155,201-3,201,Blvd. Rodriguez y Everardo Monroy,29.087047,-110.95769,2,201,202,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.95769 29.087047)
156,201-4,201,Blvd. Rodriguez y Fronteras,29.08182115,-110.9564209,3,201,202,1902,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.9564209 29.08182115)
157,201-6,201,Blvd. Rodriguez y Tamaulipas,29.092977,-110.954537,2,201,202,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.954537 29.092977)
158,201-7,201,Blvd. Morelos y Marical 1,29.098314,-110.950865,12,201,202,1101,1201,1400,1501,1701,1703,1901,1902,1102,1401,NA,NA,POINT (-110.950865 29.098314)
159,1901-29,1901,Blvd. Jose Maria Morelos Y Juan De Dios Arias,29.101184,-110.950896,4,1901,201,1101,1102,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.950896 29.101184)
160,1201-144,1201,Blvd Jose Maria Morelos Y Bv Justo Sierra,29.105786,-110.950947,9,1201,700,1101,1400,1701,1703,1901,1102,1401,0,0,NA,NA,NA,POINT (-110.950947 29.105786)
