field_1,Codigo,Linea,Nombre,Latitude,Longitud,No_Lineas,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,geometry
1714,1102-83,1102,prof. Alfonoso lopez riesgo y prof. Miguel castro,29.013708,-110.94351,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.94351 29.013708)
1715,1102-84,1102,prof. Alfonoso lopez riesgo y calle prof. Adolfo lopez moreno,29.010742,-110.943609,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.943609 29.010742)
1716,1102-85,1102,prof. Alfonoso lopez riesgo y amalia camuo abril,29.009609,-110.943624,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.943624 29.009609)
1717,1102-86,1102,prof. Alfonoso lopez riesgo y av. Del patron,29.007597,-110.943607,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.943607 29.007597)
1718,1102-87,1102,prof. Alfonoso lopez riesgo y av. Del granero,29.006383,-110.943484,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.943484 29.006383)
1719,1102-88,1102,prof. Alfonoso lopez riesgo y av. De los constructores,29.004113,-110.943442,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.943442 29.004113)
1720,1102-89,1102,prof. Alfonoso lopez riesgo y av. De los topografos,29.001916,-110.943527,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.943527 29.001916)
1721,1102-90,1102,prof. Alfonoso lopez riesgo y sauceda,29.000583,-110.943567,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.943567 29.000583)
1722,1102-91,1102,av. Diecinueve y calle del paraiso,29.00038,-110.940847,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.940847 29.00038)
1723,1102-92,1102,calle del paraiso y av. aguilucho,29.002027,-110.940356,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.940356 29.002027)
1724,1102-93,1102,av. Aguilucho y arendario,29.001946,-110.938709,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.938709 29.001946)
1725,1102-94,1102,av. Aguilucho y atunes,29.001867,-110.935318,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.935318 29.001867)
1726,1102-95,1102,atunes y Del acaro,29.0034,-110.935073,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.935073 29.0034)
1727,1102-96,1102,aire puro y venado cola blanca,29.005391,-110.933281,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.933281 29.005391)
1728,1102-97,1102,aire puro y blvd. Capomo,29.005384,-110.931924,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.931924 29.005384)
1729,1102-98,1102,hilario cota e. y blvd. Capomo,29.00311,-110.93143,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.93143 29.00311)
1730,1102-99,1102,hilario cota e. y flamencos,29.003129,-110.929957,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.929957 29.003129)
1731,1102-100,1102,flamencos y aldredo graff leyva,29.004362,-110.929738,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.929738 29.004362)
1732,1102-101,1102,av. Aire puro y av. pena colorada,29.005818,-110.928055,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.928055 29.005818)
1733,1102-102,1102,av. Pena colorada y puma,29.007155,-110.929027,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.929027 29.007155)
1734,1102-104,1102,blvd. Musaro y av. Pena colorada,29.008585,-110.92942,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.92942 29.008585)
1735,1102-109,1102,blvd. Capomo y nuevo predegal,29.016089,-110.931687,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.931687 29.016089)
1736,1102-110,1102,blvd. Cimarron,29.017599,-110.932334,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.932334 29.017599)
1737,1102-111,1102,blvd. Cimarron y calle horizonte,29.019441,-110.93461,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.93461 29.019441)
1738,1102-112,1102,blvd. Cimarron y altamira,29.020281,-110.935449,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.935449 29.020281)
1739,1102-113,1102,av. Xocolt,29.023134,-110.941996,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.941996 29.023134)
1740,1102-114,1102,av. Xocolt,29.023391,-110.943742,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.943742 29.023391)
1741,1102-115,1102,av. Xocolt y templo mitla,29.023811,-110.946658,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.946658 29.023811)
1742,1102-116,1102,av. Xocolt y templo tlaloc,29.024299,-110.949797,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.949797 29.024299)
1743,1102-117,1102,av. Xocolt y piramide de la luna,29.02492,-110.95416,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.95416 29.02492)
1744,1102-119,1102,progreso y tezcatlipoca,29.027165,-110.956123,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.956123 29.027165)
1745,1102-120,1102,progreso y electricista,29.028667,-110.955827,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.955827 29.028667)
1746,1102-125,1102,blvd. Agustin de vildosola y del topacio,29.041529,-110.957634,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.957634 29.041529)
1747,1102-128,1102,blvd. Agustin de vildosola y av. Sanpedro de la conquista,29.050303,-110.955993,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.955993 29.050303)
1748,1102-133,1102,blvd. Agustin de vildosola y av. Ignacio zaragoza,29.063054,-110.954454,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.954454 29.063054)
1749,1102-137,1102,av. plutarco elias calles y calle benito juarez,29.078137,-110.951249,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.951249 29.078137)
1750,1102-145,1102,periferico norte y blvd. Jose maria morelos,29.108937,-110.951562,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.951562 29.108937)
1751,1102-146,1102,periferico norte y calle benito juarez,29.108937,-110.951562,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.951562 29.108937)
1752,1102-147,1102,periferico norte y calle dos,29.108871,-110.955919,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.955919 29.108871)
1753,1102-148,1102,periferico norte y calle israel gonzalez,29.109373,-110.959006,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.959006 29.109373)
1754,1102-149,1102,calle gral. Mariano escobedo y periferico norte,29.109505,-110.962511,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.962511 29.109505)
1755,1102-150,1102,av. Luis orci y calle gral. Bernardo reyes,29.109109,-110.962876,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.962876 29.109109)
